motorway_highway,secondary_tertiary,residential,other_roads,date_trunc
728.9419911562507,812.8884026643713,1722.6003179944778,555.4541141531945,2017-01-01
728.9935983262122,812.8854100606449,1727.2940406578853,555.5384628497505,2017-02-01
701.100496004276,843.5032211428598,1730.626313203559,561.1559544317206,2017-03-01
701.6153951836017,843.5141808423892,1730.745965052493,568.0197345404363,2017-04-01
698.9279524543258,843.551357673906,1739.8695557023186,596.8619788282302,2017-05-01
698.9279524543258,843.551357673906,1739.92366657964,596.8619788282302,2017-06-01
698.9279524543258,844.2525865498061,1739.9258827915125,599.8590672600484,2017-07-01
698.9212494460647,844.2525865493049,1740.2824403876077,606.8816608542953,2017-08-01
698.9225728038152,841.8502496374244,1740.9510319908075,610.7127949151032,2017-09-01
698.2304850086546,844.7484878960988,1747.085228635607,638.2914595425416,2017-10-01
699.1178150858103,845.0814400842856,1754.543927633614,637.7286470401405,2017-11-01
698.3847579646973,845.0809504316156,1754.5214383090831,641.989789531798,2017-12-01
687.6180316566738,854.3472460338711,1758.8334208757271,651.0380653561716,2018-01-01
687.5946181733802,854.4575731415615,1760.5099288954793,650.0515322480734,2018-02-01
702.4916412061589,836.0538325173746,1760.7498468215233,649.1697912152749,2018-03-01
702.6676865662282,835.7763635914887,1763.8813281417333,649.2733326581113,2018-04-01
703.1768795757188,835.9361541081936,1764.5763233775006,654.5297962585223,2018-05-01
703.4545591138079,835.3849765012869,1765.1388906692232,654.6378904786136,2018-06-01
703.530237434734,835.385014226922,1766.5216892788287,654.7093651537067,2018-07-01
703.530237434734,835.3852801607408,1766.6382568176111,654.7093651537067,2018-08-01
703.5252904757334,838.6559447624919,1768.3602873971224,654.3612090908028,2018-09-01
703.5252905619352,838.6557819330083,1769.061238883686,654.8302132199261,2018-10-01
703.3955850921537,838.8091020056146,1769.3294810593195,654.8710272652409,2018-11-01
703.4644663463954,839.2868026990327,1768.8317613463284,654.8058559504711,2018-12-01
703.4642808876781,839.2878095374805,1771.9442435414917,654.8034475551804,2019-01-01
714.6529332779905,840.35643255708,1772.7978512647921,654.9769089472697,2019-02-01
714.6227104872057,840.493805301099,1793.27361395049,667.0654152129229,2019-03-01
715.8740627598563,836.8251397824085,1796.8655217828805,673.6555964203168,2019-04-01
715.8740627600617,836.837153747664,1799.0765911318044,673.6625873359652,2019-05-01
713.6979627083367,839.8058558480657,1798.9607615492275,676.3628529176107,2019-06-01
713.6578142834787,840.8226202112617,1839.1061061592877,681.6936669036942,2019-07-01
713.6607244739358,840.8521015606658,1850.8172346306567,691.5597262819086,2019-08-01
706.5979484649708,836.5440020965135,1873.71026725122,709.6724848649357,2019-09-01
701.880704125895,835.3742772312069,1969.3925999755124,742.5628692909933,2019-10-01
693.0976555215288,842.0860575066203,1984.5272032818657,745.4876723034089,2019-11-01
693.0976555215288,842.0860575066203,1984.5272032818675,745.4936657641582,2019-12-01
693.4059428645759,842.086033213854,1986.9537262311198,743.1113100108963,2020-01-01
